id;bearer;question;tu_question;fr_question;es_question;jp_question;ko_question;sc_question;tc_question;de_question;ru_question;it_question;bp_question;override_yes;tu_override_yes;fr_override_yes;es_override_yes;jp_override_yes;ko_override_yes;sc_override_yes;tc_override_yes;de_override_yes;ru_override_yes;it_override_yes;bp_override_yes;answer_yes;tu_answer_yes;fr_answer_yes;es_answer_yes;jp_answer_yes;ko_answer_yes;sc_answer_yes;tc_answer_yes;de_answer_yes;ru_answer_yes;it_answer_yes;bp_answer_yes;override_no;tu_override_no;fr_override_no;es_override_no;jp_override_no;ko_override_no;sc_override_no;tc_override_no;de_override_no;ru_override_no;it_override_no;bp_override_no;answer_no;tu_answer_no;fr_answer_no;es_answer_no;jp_answer_no;ko_answer_no;sc_answer_no;tc_answer_no;de_answer_no;ru_answer_no;it_answer_no;bp_answer_no;vide
95;lady;You know it has nothing to do with love? I'm sorry but I needed you to listen, and understand.;Aslında aşkla alakası yok, biliyor muydunuz? Üzgünüm ama dinlemeniz, anlamanız gerekiyor.;Vous savez que cela n'a rien à voir avec l'amour ? J'en suis désolée, mais il fallait que vous écoutiez.;¿Sabéis que ésto no tiene nada que ver con el amor? Lo siento... pero teníais que escucharlo.;でも、本当は愛とはなんの関係もないのです。+どうかお許しください。陛下にはどうしても、+私の話を聞いていただく必要がありました。;하지만 사실 사랑과는 아무런 관계도 없는 건 아시죠.  부디 용서해 주십시오.  폐하가 꼭 제 말을 듣고 이해해 주셔야 했어요.;您是清楚这一切和爱情并无关系的吧？+抱歉，但请您一定好好地仔细地听明白了。;您是清楚這一切和愛情並無關系的吧？+抱歉，但請您一定好好地仔細地聽明白了。;Ihr wisst, dass es nichts mit Liebe zu tun hat? Tut mir leid, aber Ihr musstet mir unbedingt zuhören.;Вы знаете, что с любовью ничего не поделать? Простите, но вы должны выслушать и понять.;Sapete che non ha niente a che vedere con l'amore? Mi dispiace, ma avevo bisogno della Vostra attenzione e comprensione.;Você sabe que isso não tem nada a ver com amor? Sinto muito, mas preciso que ouça e compreenda.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;lady;This curse, and everything that's happening to you is a masquerade organized by the devil.;Bu lanet ve başınızdan geçen her şey, şeytanın bir oyunu.;Ce sort et tout ce qui vous arrive en ce royaume est une masquarade organisée de toutes pièces par le démon.;Esta maldición y todo lo que ocurre en este reino es una farsa montada por el Diablo.;この呪いだけでなく、+陛下の身に起きていることはすべて、+悪魔が謀った茶番なのです。;이 저주뿐만 아니라 폐하의 신변에 일어나는 모든 사건은 악마가 꾸민 짓입니다.;这种诅咒，以及您身上发生的一切，+都只是魔鬼操弄下的一场虚伪闹剧。;這種詛咒，以及您身上發生的一切，+都只是魔鬼操弄下的一場虛偽鬧劇。;Dieser Bann und alles, was Euch zustößt, ist eine vom Teufel inszenierte Maskerade.;Это проклятье и все, что с вами происходит — происки дьявола.;Questa maledizione, così come tutto quanto Vi sta accadendo, è una messinscena organizzata dal diavolo.;Esse feitiço e tudo que está acontecendo com você é um disfarce organizado pelo diabo.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;lady;I am the one you call the Senator.;Senatör denen kişi benim.;Je suis celui que vous appellez le Sénateur.;Yo soy aquel al que llamáis Senador.;そうです、陛下。+「元老院議員」は、私です。;그렇습니다, 폐하. "원로원 의원"은 접니다.;其实我就是您口中的那位“议员”。;其實我就是您口中的那位“議員”。;"Der Senator" ist niemand anderes als ich.;Я и есть тот, кого называют Сенатором.;Io sono colei che chiamate Senatore.;Eu sou o que chamam de Senador.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98;lady;I spent years scheming just to be able to talk to you now, while the devil is busy correcting the mess I made.;Şeytan sebep olduğum kargaşayı düzeltmekle meşgulken sizinle konuşabilmek için yıllarca komplo kurdum.;Cela fait des siècles que je manigance afin de pouvoir vous parler aujourd'hui, tandis que le démon s'occupe du diplomate.;He maquinado durante años para hablar con vos, aprovechando que el Diablo está ahora ocupado..;こうして陛下とお話しする機会を得るために、+長年陰謀をくわだて、+悪魔にその後始末をさせて、+隙をうかがって参りました。;이렇게 폐하와 이야기할 기회를 얻기 위해 오랜 기간 동안 계획을 꾸미고 여러 사건을 일으켜 악마를 바쁘게 만들었죠.;我暗中谋划了多年，+只是为了能够在今天，+趁着魔鬼忙着处理我在别处搞出的骚乱，+和您说上几句话。;我暗中謀劃了多年，+只是為了能夠在今天，+趁著魔鬼忙著處理我在別處搞出的騷亂，+和您說上幾句話。;Nach jahrelangen Ränken kann ich jetzt mit Euch sprechen, während der Teufel sich mit meinem Chaos befasst.;Я потратила несколько лет, составляя план, чтобы сейчас поговорить с вами. А дьявол строил козни.;Ho passato anni a tramare nell'ombra solo per riuscire a parlarvi, mentre il diavolo è occupato a rimediare al caos che ho provocato.;Passei anos maquinando apenas para poder falar com você enquanto o diabo está ocupado corrigindo o que fiz.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;lady;Listen carefully. There is only one way for you to trick the devil.;Dikkatle dinleyin. Şeytan sadece tek bir şekilde kandırabilirsiniz.;Chut ! Écoutez attentivement. Il n'y a qu'une manière d'échapper à cette malédiction.;¡Silencio! Escuchad atentamente. Solo hay una manera de escapar de esta maldición.;あまり時間がないので、よくお聞きください。+悪魔を欺く方法は、ただ1つ…;시간이 그리 없습니다.  잘 들으세요. 악마를 속이는 방법은 단 하나...;请仔细听好，+只有一种方法能让您骗过魔鬼。;請仔細聽好，+只有一種方法能讓您騙過魔鬼。;Wir haben nicht viel Zeit. Hört gut zu. Es gibt nur einen Weg, den Teufel zu betrügen.;У нас мало времени. Слушайте внимательно. У вас только один способ обмануть дьявола.;Ascoltate attentamente. C'è un solo modo per ingannare il diavolo.;Não temos muito tempo. Ouça atentamente, só há uma maneira de enganar o diabo.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;lady;Make him fulfil an impossible task. Something that cannot happen however hard he tries.;İmkansız bir şeyi yerine getirmesini sağlayın. Ne kadar denerse denesin yapamayacağı bir şey olmalı.;Demandez au démon de réaliser une tâche impossible, qu'il ne pourra pas achever, quoi qu'il essaye.;Exigid al Diablo una tarea imposible, algo que nunca conseguirá de ninguna manera.;不可能な願い事をするのです。+逆立ちしても叶えられないことを。;악마에게 불가능한 소원을 들어달라고 하세요.  아무리 노력해도 이룰 수 없는 소원 말입니다.;让他去做一样不可能完成的任务，+一件无论他怎样费尽心力都不可能发生的事。;讓他去做一樣不可能完成的任務，+一件無論他怎樣費盡心力都不可能發生的事。;Verlangt, dass er eine unmögliche Aufgabe erfüllt. Etwas, das nie geschehen wird, so sehr er sich auch bemüht.;Заставьте его выполнить невозможное. Что-то, чего он не сможет, как бы он ни старался.;Chiedetegli di portare a termine un incarico impossibile. Qualcosa che, non importa quanto si sforzi, non potrà mai realizzare.;Faça-o realizar uma tarefa impossível. Algo impossível de acontecer, não importa o que ele faça.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;lady;I have to go <i>(shushing you)</i>. We will pretend this talk never happened. ;Gitmem gerek. <i>(Sizi susturur)</i> Bu konuşma hiç yaşanmamış gibi davranacağız.;Je dois m'éclipser <i>(elle vous empêche de parler)</i>. Faisons comme si cette discussion n'avait pas eu lieu.;Debo desaparecer <i>(os impide hablar)</i>. Hagamos como si esta conversación nunca hubiera sucedido.;私はもう行かなくては…+シーッ… 今の話は、+ふたりだけの秘密ですよ。;전 이제 돌아가야만 합니다...  쉿... 방금 이야기는 저희 둘만의 비밀이에요.;我得走了。+<i>（嘘）</i>+咱们就装作从来没有过这次对话。;我得走了。+<i>（噓）</i>+咱們就裝作從來沒有過這次對話。;Ich muss gehen. <i>(Sie bedeutet Euch, still zu sein)</i> Tun wir, als habe dieses Gespräch nie stattgefunden.;Мне пора идти <i>(просит вас молчать)</i>. Сделаем вид, что этого разговора не было.;Devo andare <i>(vi fa tacere)</i>. Faremo finta che questo non sia mai accaduto.;Preciso ir <i>(silenciando você)</i>. Essa conversa nunca aconteceu.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;priest;Your peasants are breeding like rabbits, the Kingdom is infested by poverty. Please consider the problem.;Köylüleriniz tavşanlar gibi ürüyor, Krallığın dört bir yanını fakirlik sarmış. Lütfen bu sorunu bir düşünün.;Vos paysans se reproduisent comme des lapins, la misère est partout. Mais nous avons la solution.;Vuestros campesinos se reproducen como conejos, la miseria nos invade... Pero existe una solución.;小作人たちがウサギのように子供を産むので、+貧困問題が深刻化しております。+陛下、なんらかの策をお考えください。;소작농들이 토끼처럼 아이를 낳아대어 빈곤 문제가 심각해지고 있습니다.  폐하, 방책을 세워 주십시오.;您的人民正在像兔子一样疯狂繁殖，+王国正苦于贫困。+请好好想想这个问题。;您的人民正在像兔子一樣瘋狂繁殖，+王國正苦於貧困。+請好好想想這個問題。;Eure Bauern vermehren sich wie die Karnickel und Armut sucht das Königreich heim. Bitte befasst Euch damit.;Ваши крестьяне плодятся, как кролики, в Королевстве голод. Подумайте над этой проблемой.;I Vostri contadini si riproducono come conigli e la miseria regna sovrana. Prendete in considerazione il problema.;Os camponeses estão se reproduzindo como coelhos. O Reino está infestado pela pobreza. Pense no assunto.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;monk;We should send all the males on a Holy crusade to the Far-East. Let them die for the Holy Grail!;Tüm erkekleri Uzak Doğuya kutsal bir sefere göndermeliyiz. Kutsal Kase adına ölsünler!;Envoyons en Croisade tous les hommes en âge de manier des armes. Qu'ils meurent pour le Saint Graal !;Enviemos a la cruzada a todos los hombres en edad de usar armas. ¡Dejadles morir por el Santo Grial! ;男子は全員、極東の聖戦に駆り出しましょう。+聖杯を探す戦いでの戦死は、+この上ない名誉です！;남자는 모두 극동의 성전에 차출합시다.  성배를 찾는 전쟁에서 전사하는 것은 지극한 영광이지요!;我们应该把所有男人送去参加远东的圣战。+让他们为了圣杯而战死吧！;我們應該把所有男人送去參加遠東的聖戰。+讓他們為了聖杯而戰死吧！;Wir sollten alle Männer zu einem Kreuzzug nach Osten aufrufen. Lasst sie für den heiligen Gral sterben!;Нужно послать мужчин в Крестовый поход на Дальний Восток. Пусть умирают за Святой Грааль!;Dovremmo spedire tutti gli uomini in una santa crociata in Estremo oriente. Che muoiano in cerca del Sacro Graal!;Sugiro enviar todos os homens em uma cruzada sagrada ao Extremo Oriente. Deixe que morram pelo Santo Graal!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;merchant;My Lord, our commercial relations with the East are deteriorating quickly. They're far richer than we are!;Lordum, Doğuyla olan ticari ilişkilerimiz hızlıca kötüye gidiyor. Bizden çok daha zenginler!;Sire, nos relations commerciales avec l'Orient se détériorent rapidement. Ils sont plus riches que nous !;Mi Señor, nuestras relaciones comerciales con el Este se están deteriorando rápidamente. ¡Son más ricos que nosotros!;陛下、東国との関係が+急速に悪化しております。+やつらはわれわれよりも+はるかに多くの富を築いている！;폐하, 동쪽 나라와의 관계가 급속히 악화되고 있습니다.  놈들은 우리보다 더 많은 부를 가지고 있습니다!;陛下，我们同东方王国的贸易往来，+正在快速萎缩。+他们比我们富有太多了！;陛下，我們同東方王國的貿易往來，+正在快速萎縮。+他們比我們富有太多了！;Majestät, unsere Handelsbeziehungen zum Osten verschlechtern sich rapide. Dort ist man viel reicher als hier!;Милорд, наши торговые отношения с Востоком стремительно ухудшаются. Они намного богаче нас!;Mio Signore, le nostre relazioni commerciali con l'Est si stanno velocemente deteriorando. Sono molto più ricchi di noi!;Senhor, nossas relações comerciais com o Oriente estão em declínio. Eles estão muito mais ricos que nós!;What are the options?;Ne yapabiliriz?;Que pouvons-nous faire ?;¿Qué opciones tenemos?;なにか策はあるか？;뭔가 대책이 있는가?;有什么选择呢？;有什麼選擇呢？;Welche Optionen haben wir?;И какие у нас варианты?;Che opzioni abbiamo?;Quais são as opções?;;;;;;;;;;;;;I don't want to hear about that;İlgilenmiyorum;Je ne veux pas le savoir;No quiero saber nada;それ以上聞きたくない…;더 이상 듣고 싶지 않아...;我不想了解;我不想瞭解;Ich will nichts davon hören;Ничего не слышать об этом;Non voglio sapere;Não quero saber disso;;;;;;;;;;;;;
105;merchant;What about a good crusade?;Şöyle güzel bir sefere ne dersiniz?;Et si on se lançait dans une bonne Croisade ?;¿Y si nos lanzásemos en una buena cruzada?;聖戦をしかけてはいかがでしょう？;성전을 일으키시겠습니까?;来一场圣战如何？;來一場聖戰如何？;Wie wäre es mit einem Kreuzzug?;Как насчет доброго Крестового похода?;Che ne pensate di una bella crociata?;Que tal uma boa e velha cruzada?;Sounds good;Neden olmasın;Bonne idée;Buena idea;よかろう;좋네.;听上去不错;聽上去不錯;Klingt gut;Звучит неплохо;Buona idea;Parece bom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
106;general;We are going to need more gold to destroy all the impious my King!;Tüm kafirleri yok etmek için daha fazla altın gerekecek, Kralım!;Il nous faut plus d'argent pour détruire les infidèles, Monseigneur. ;Necesitamos más dinero para destruir a los infieles, Mi Señor.;神を敬わぬ者どもを始末するには、+さらなる軍資金が必要です！;신을 경배하지 않는 자들을 처치하려면  군자금이 추가로 필요합니다!;我们需要更多钱来灭杀所有异教徒，陛下！;我們需要更多錢來滅殺所有異教徒，陛下！;Wir brauchen mehr Gold, um alle Ungläubigen zu vernichten, mein König!;Нам потребуется больше золота, чтобы стереть с лица земли безбожников, мой Король!;Ci servirà molto più oro per distruggere gli infedeli, mio Re!;Vamos precisar de mais ouro para destruir todos os ímpios, meu Rei!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
107;general;Should we burn Lamascus and kill all the population?;Çam'ı yakıp halkın tamamını öldürelim mi?;Devons-nous brûler Lamascus et tuer toute la population ?;¿Deberíamos quemar Lamasco y matar a toda la población?;陛下、ラマスクスの街を焼き討ちし、+住民を皆殺しにしては？;폐하, 라마스쿠스를 불태우고 주민을 몰살할까요?;我们要不要烧毁拉马士革，+杀光这里的所有人？;我們要不要燒毀拉馬士革，+殺光這裏的所有人？;Sollen wir Lamaskus niederbrennen und die gesamte Bevölkerung töten?;Сжечь Ламаск и убить всех его жителей?;Dobbiamo bruciare Lamasco e sterminare la popolazione?;Devemos queimar Lamascus e matar toda a população?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
108;monk;Do you give approval to erect a basilica in Lamascus?;Çam'da bazilika inşa etmemize onay veriyor musunuz?;Ai-je votre autorisation pour ériger une basilique à Lamascus ?;¿Cuento con vuestra autorización para erigir una basílica en Lamasco?;陛下、ラマスクスにバシリカを+建設する許可をいただけますか？;폐하, 라마스쿠스에 성당 건축 허가를 내려 주시겠습니까?;陛下可否批准我们+在拉马士革建一座教堂？;陛下可否批准我們+在拉馬士革建一座教堂？;Genehmigt Ihr den Bau einer Basilika in Lamaskus?;Вы даете разрешение на возведение базилики в Ламаске?;Date il Vostro consenso alla costruzione di una Basilica a Lamasco?;Você aprova a construção de uma basílica em Lamascus?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
109;priest;God told me that we should find the Holy Grail at any cost!;Tanrı bana Kutsal Kase'yi ne olursa olsun bulmamız gerektiğini söyledi!;Dieu m'a parlé ! Nous devons trouver le Saint Graal à tout prix !;¡Dios me ha hablado! ¡Debemos encontrar el Santo Grial a toda costa!;神の啓示がありました。+われわれはどんな犠牲を払ってでも、+聖杯を探す戦いを続けるべきです！;신의 계시가 있었습니다.  우리는 어떤 희생을 치르더라도  성배를 찾는 전쟁을 계속해야 합니다!;上帝传话于我，+我们应当不惜一切代价去寻找圣杯！;上帝傳話於我，+我們應當不惜一切代價去尋找聖杯！;Gott wies mich an, wir sollten den heiligen Gral um jeden Preis finden!;Бог говорит мне, что нам нужно любой ценой отыскать Святой Грааль!;Dio mi ha comunicato che dobbiamo trovare il Saro Graal a tutti i costi!;Deus me disse que precisamos encontrar o Santo Graal, custe o que custar!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
110;homunculus;Here in Lamascus lies the most well kept secret in the world.;Dünyanın en iyi büyük sırrı burada, Çam'da saklıdır.;Ici à Lamascus réside le secret le mieux gardé au monde.;Aquí en Lamasco reside el secreto mejor conservado del mundo.;このラマスクスの街には、+世界最大の秘密が眠っている。;라마스쿠스에는 세계 최대의 비밀이 잠들어 있다네.;拉马士革埋藏着世界上保护得最好的秘密。;拉馬士革埋藏著世界上保護得最好的秘密。;Hier in Lamaskus befindet sich das bestgehütete Geheimnis der Welt.;Здесь, в Ламаске, сокрыта величайшая тайна мира.;Qui a Lamasco giace il segreto meglio custodito nel mondo.;Aqui em Lamascus jaz o segredo mais bem guardado do mundo.;I knew we had a good reason to come;İyi ki gelmişiz;Je le savais!;¡Lo sabía!;やはり、この地を訪れて+正解だったな;역시 여기를 방문하길 잘했군.;我早知此行必有所获;我早知此行必有所獲;Ich wusste es!;Это отличный повод прийти;Sapevo che venire qui aveva un senso!;Sabia que havia um bom motivo;;;;;;;;;;;;;I'm not interested;İlgilenmiyorum;Ça ne m'intéresse pas;No me interesa;興味はない;관심 없다.;我并不感兴趣;我並不感興趣;Interessiert mich nicht;Мне не интересно;Non sono interessato;Não estou interessado;;;;;;;;;;;;;
